cases,deaths,cases_per_million,deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,hdi
749739,21859,64690.582,1886.085,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,50.31536364,5.64,81.63,0.931
12227,314,30750.388,789.697,397621,16.426,25,3.853,2.279,7824.362,13.64957983,176.957,17.11,10.55620438,32.13925926,90.083,1.3,74.62,0.716
5143,65,424.228,5.362,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
866,1,1122.326,1.296,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,10.55620438,32.13925926,79.807,1.7,71.78,0.654
240676,11390,20618.127,975.754,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,10.55620438,32.13925926,25.383,1.1,71.51,0.718
127537,4979,38873.573,1517.611,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
26524,254,11279.009,108.01,2351625,4.044,25.8,3.941,2.242,15807.374,13.64957983,237.372,4.81,5.7,34.4,50.31536364,1.8,69.59,0.735
10084208,244737,47441.833,1151.382,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,50.31536364,2.2,75.88,0.765
185,3,422.874,6.857,437483,81.347,32.4,4.591,2.382,71809.251,13.64957983,201.285,12.79,2,30.9,50.31536364,2.7,75.86,0.838
235891,9821,33948.747,1413.41,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,50.31536364,7.454,75.05,0.816
11763,139,562.735,6.65,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
1955,3,164.413,0.252,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,10.55620438,32.13925926,6.144,0.8,61.58,0.433
33749,523,1271.347,19.702,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,10.55620438,32.13925926,2.735,1.3,59.29,0.563
845673,21581,22406.589,571.801,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,50.31536364,2.5,82.43,0.929
14948,142,26885.472,255.401,555988,135.58,25.7,4.46,3.437,6222.554,13.64957983,182.219,2.42,2.1,16.5,50.31536364,2.1,72.98,0.665
5001,63,1035.454,13.044,4829764,7.479,18.3,3.655,2.251,661.24,13.64957983,435.727,6.1,10.55620438,32.13925926,16.603,1,53.28,0.397
3776,132,229.881,8.036,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,10.55620438,32.13925926,5.818,3.017471698,54.24,0.398
791939,19897,41427.618,1040.844,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,50.31536364,2.11,80.18,0.851
100705,4833,69.967,3.358,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,50.31536364,4.34,76.91,0.761
2217001,58511,43570.663,1149.915,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
3473,142,3993.813,163.294,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
8419,123,1525.709,22.29,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,3.017471698,64.57,0.574
201678,2763,39590.398,542.391,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
31825,185,1206.485,7.013,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,10.55620438,32.13925926,19.351,3.017471698,57.78,0.538
239254,5407,58279.752,1317.088,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,50.31536364,5.54,78.49,0.851
42547,287,3756.373,25.339,11326616,110.408,43.1,14.738,9.719,18901.21359,13.64957983,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
33046,229,37728.094,261.446,875899,127.657,37.3,13.416,8.563,32415.132,13.64957983,141.171,9.24,19.6,52.7,50.31536364,3.4,80.98,0.887
1134957,18913,105981.782,1766.088,10708982,137.176,43.3,19.027,11.58,32605.906,13.64957983,227.485,6.82,30.5,38.3,50.31536364,6.63,79.38,0.9
24964,695,278.736,7.76,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,10.55620438,32.13925926,4.472,3.017471698,60.68,0.48
207305,2328,35790.355,401.92,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,50.31536364,2.5,80.9,0.94
6022,63,6095.129,63.765,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,50.31536364,1.4,67.11,0.524
233598,3024,21533.93,278.764,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
271276,15474,15375.791,877.059,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759
176943,10250,1729.067,100.162,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
58546,1785,9026.239,275.2,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
5747,88,4096.266,62.723,1402985,45.194,22.4,2.846,1.752,22604.873,13.64957983,202.812,7.78,10.55620438,32.13925926,24.64,2.1,58.74,0.592
2685,7,757.1,1.974,3546427,44.304,19.3,3.607,2.171,1510.459,13.64957983,311.11,6.05,0.2,11.4,50.31536364,0.7,66.32,0.459
56246,518,42400.563,390.49,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,50.31536364,4.69,78.74,0.892
16742,644,14430.718,555.094,1160164,79.492,21.5,3.163,1.845,7738.975,13.64957983,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
151016,2259,1313.599,19.65,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
56,2,62.469,2.231,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,50.31536364,2.3,67.44,0.743
52653,725,9502.92,130.849,5540718,18.136,42.8,21.228,13.264,40585.721,13.64957983,153.507,5.76,18.3,22.6,50.31536364,3.28,81.91,0.938
3596167,83543,55093.818,1279.891,65273512,122.578,42,19.718,13.079,38605.671,13.64957983,86.06,4.77,30.1,35.6,50.31536364,5.98,82.66,0.901
13553,75,6089.244,33.697,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,10.55620438,32.13925926,50.31536364,6.3,66.47,0.703
4543,143,1879.864,59.172,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
267701,3406,67106.858,853.811,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,50.31536364,2.6,73.77,0.812
2381259,67741,28421.424,808.52,83783945,237.016,46.6,21.453,15.957,45229.245,13.64957983,156.139,8.31,28.2,33.1,50.31536364,8,81.33,0.947
79165,568,2547.715,18.28,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
177494,6249,17028.979,599.536,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,50.31536364,4.21,82.24,0.888
148,1,1315.333,8.887,112519,317.132,29.4,7.304,5.021,13593.877,13.64957983,243.964,10.71,10.55620438,32.13925926,50.31536364,3.7,72.4,0.779
170275,6220,9504.304,347.184,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,10.55620438,32.13925926,76.665,0.6,74.3,0.663
15216,86,1158.626,6.548,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,10.55620438,32.13925926,17.45,0.3,61.6,0.477
3064,46,1556.912,23.374,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,10.55620438,32.13925926,6.403,3.017471698,58.32,0.48
8357,189,10624.759,240.287,786559,3.952,26.3,5.305,2.837,7435.047,13.64957983,373.159,11.62,10.55620438,32.13925926,77.159,1.6,69.91,0.682
12206,247,1070.464,21.662,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51
164077,3975,16565.724,401.328,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,32.13925926,84.169,0.7,75.27,0.634
397116,14145,41107.827,1464.233,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,50.31536364,7.02,76.88,0.854
6045,29,17714.286,84.982,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,50.31536364,2.91,82.99,0.949
10977387,156212,7954.603,113.197,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
1263299,34152,4618.61,124.859,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
1558159,59341,18551.068,706.5,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.31536364,1.5,76.68,0.783
661477,13232,16445.446,328.97,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,10.55620438,32.13925926,94.576,1.4,70.6,0.674
213400,4109,43217.662,832.153,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,50.31536364,2.96,82.3,0.955
744513,5526,86015.767,638.435,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,50.31536364,2.99,82.97,0.919
2780882,95235,45994.011,1575.126,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,50.31536364,3.18,83.51,0.892
20581,391,6950.314,132.043,2961161,266.879,31.4,9.684,6.39,8193.571,13.64957983,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
422718,7360,3342.266,58.193,126476458,347.778,48.2,27.049,18.493,39002.223,13.64957983,79.37,5.72,11.2,33.7,50.31536364,13.05,84.63,0.919
357611,4528,35049.112,443.785,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,10.55620438,32.13925926,50.31536364,1.4,74.53,0.729
255584,3148,13611.758,167.655,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825
103841,1813,1931.16,33.717,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
65450,1558,33863.245,806.095,1932774,168.155,30.42988506,8.723994186,5.530219653,9795.834,0.6,256.9334971,7.673863636,10.55620438,32.13925926,50.31536364,3.017471698,72.86730337,0.724965517
182460,1034,42725.046,242.123,4270563,232.128,33.7,2.345,1.114,65530.537,13.64957983,132.235,15.84,2.7,37,50.31536364,2,75.49,0.806
85831,1452,13155.807,222.556,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
80040,1533,42434.479,812.744,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,50.31536364,5.57,75.29,0.866
351065,4257,51434.764,623.696,6825442,594.561,31.1,8.514,5.43,13367.565,13.64957983,266.591,12.71,26.9,40.7,50.31536364,2.9,78.93,0.744
10455,285,4880.378,133.038,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,3.017471698,54.33,0.527
1988,85,393.066,16.806,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
129325,2088,18821.074,303.873,6871287,3.623,29,4.424,2.816,17881.509,13.64957983,341.862,10.43,10.55620438,32.13925926,50.31536364,3.7,72.91,0.724
2543,54,66680.651,1415.948,38137,237.012,30.42988506,8.723994186,5.530219653,18901.21359,13.64957983,256.9334971,7.77,10.55620438,32.13925926,50.31536364,2.397,82.49,0.919
192986,3145,70891.025,1155.277,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,50.31536364,6.56,75.93,0.882
53782,622,85917.032,993.648,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,50.31536364,4.51,82.25,0.916
19598,292,707.738,10.545,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,10.55620438,32.13925926,50.54,0.2,67.04,0.528
30277,997,1582.701,52.117,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
277811,1043,8583.421,32.225,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,50.31536364,1.9,76.16,0.81
18467,58,34163.858,107.3,540542,1454.433,30.6,4.12,2.875,15183.616,13.64957983,164.905,9.19,2.1,55,95.803,3.017471698,78.92,0.74
8260,344,407.884,16.987,20250834,15.196,16.4,2.519,1.486,2014.306,13.64957983,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434
20563,301,46571.198,681.706,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,50.31536364,4.485,82.53,0.895
17071,433,3671.451,93.125,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,10.55620438,32.13925926,15.95,3.017471698,64.92,0.546
603,10,474.143,7.863,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,50.31536364,3.4,74.99,0.804
2030491,178965,15748.45,1388.049,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
175183,3739,43427.022,926.88,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
1844,22,46988.075,560.595,39244,19347.5,30.42988506,8.723994186,5.530219653,18901.21359,13.64957983,256.9334971,5.46,10.55620438,32.13925926,50.31536364,13.8,86.75,0.724965517
2586,2,788.825,0.61,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737
71112,932,113224.491,1483.93,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,50.31536364,3.861,76.88,0.829
480504,8540,13018.064,231.37,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,50.31536364,1.1,76.68,0.686
54204,583,1734.226,18.653,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
141728,3194,2604.825,58.703,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
36993,399,14558.923,157.03,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,3.017471698,63.71,0.646
273263,2061,9378.618,70.735,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
1061903,15261,61973.205,890.64,17134873,508.544,43.2,18.779,11.881,48472.545,13.64957983,109.361,5.29,24.4,27.3,50.31536364,3.32,82.28,0.944
2350,26,487.326,5.392,4822233,18.206,37.9,15.322,9.72,36085.843,13.64957983,128.797,8.08,14.8,17.2,50.31536364,2.61,82.29,0.931
6398,172,965.801,25.964,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,10.55620438,32.13925926,50.31536364,0.9,74.48,0.66
4725,170,195.194,7.023,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
150908,1813,732.067,8.795,206139587,209.588,18.1,2.751,1.447,5338.454,13.64957983,181.013,2.42,0.6,10.8,41.949,3.017471698,54.69,0.539
98584,3037,47319.26,1457.727,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,10.55620438,32.13925926,50.31536364,4.28,75.8,0.774
68107,607,12562.988,111.967,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,50.31536364,3.6,82.4,0.957
138494,1549,27120.472,303.332,5106622,14.98,30.7,2.355,1.53,37960.709,13.64957983,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
569846,12563,2579.746,56.874,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
171717,1961,33660.654,384.403,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,10.55620438,32.13925926,50.31536364,3.017471698,74.05,0.708
335339,5711,77718.895,1323.594,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,50.31536364,2.3,78.51,0.815
955,10,106.739,1.118,8947027,18.22,22.6,3.808,2.142,3823.194,13.64957983,561.494,17.65,23.5,48.8,50.31536364,3.017471698,64.5,0.555
149684,3026,20986.102,424.253,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728
1261804,44489,38269.134,1349.303,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,32.13925926,50.31536364,1.6,76.74,0.777
557058,11829,5083.523,107.947,109581085,351.873,25.2,4.803,2.661,7599.188,13.64957983,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718
1623218,41823,42889.395,1105.066,37846605,124.027,41.8,16.763,10.202,27216.445,13.64957983,227.331,5.91,23.3,33.1,50.31536364,6.62,78.73,0.88
794769,15821,77943.693,1551.579,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,50.31536364,3.39,82.05,0.864
159518,256,55367.816,88.856,2881060,227.322,31.9,1.307,0.617,116935.6,13.64957983,176.69,16.52,0.8,26.9,50.31536364,1.2,80.23,0.848
774555,19738,40262.387,1026.007,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,50.31536364,6.892,76.05,0.828
4092649,81048,28044.432,555.373,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,50.31536364,8.05,72.58,0.824
17929,245,1384.243,18.916,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,3.017471698,69.02,0.543
2620,25,14267.899,136.144,183629,293.187,34.9,9.721,6.405,12951.839,13.64957983,204.62,11.62,10.55620438,32.13925926,87.202,1.3,76.2,0.759
1494,6,13465.889,54.08,110947,281.787,31.8,7.724,4.832,10727.146,13.64957983,252.675,11.62,10.55620438,32.13925926,50.31536364,2.6,72.53,0.738
3440,72,101361.306,2121.516,33938,556.667,30.42988506,8.723994186,5.530219653,56861.47,13.64957983,256.9334971,5.64,10.55620438,32.13925926,50.31536364,3.8,84.97,0.724965517
1578,20,7200.186,91.257,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,10.55620438,32.13925926,41.34,2.9,70.39,0.625
374366,6454,10753.359,185.386,34813867,15.322,31.9,3.295,1.845,49045.411,13.64957983,259.538,17.72,1.8,25.4,50.31536364,2.7,75.13,0.854
32378,787,1933.716,47.002,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,3.017471698,67.94,0.512
431680,4306,63439.475,632.808,6804596,80.291,41.2,17.366,5.530219653,14048.881,13.64957983,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806
2305,10,23439.089,101.688,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,50.31536364,3.6,73.4,0.796
3841,79,481.51,9.903,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,3.017471698,54.7,0.452
59846,29,10229.486,4.957,5850343,7915.731,42.4,12.922,7.049,85535.383,13.64957983,92.243,10.99,5.2,28.3,50.31536364,2.4,83.62,0.938
287752,6350,52705.278,1163.08,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,50.31536364,5.82,77.54,0.86
183396,3762,88216.45,1809.583,2078932,102.619,44.5,19.062,12.93,31400.84,13.64957983,153.493,7.25,20.1,25,50.31536364,4.5,81.32,0.917
5632,179,354.365,11.263,15893219,23.5,16.8,2.731,1.496,18901.21359,13.64957983,365.769,6.05,10.55620438,32.13925926,9.831,0.9,57.4,0.724965517
1500677,48859,25302.818,823.808,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
86574,1553,1688.617,30.291,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,50.31536364,12.27,83.03,0.916
6277,83,560.76,7.415,11193729,316.1946818,19.2,3.441,2.032,1569.888,13.64957983,280.775,10.43,10.55620438,32.13925926,50.31536364,3.017471698,57.85,0.433
3133122,67101,67011.796,1435.169,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,50.31536364,2.97,83.56,0.904
78937,433,3686.362,20.221,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,50.31536364,3.6,76.98,0.782
30128,1864,687.081,42.509,43849269,23.258,19.7,3.548,2.034,4466.507,13.64957983,431.388,15.67,10.55620438,32.13925926,23.437,0.8,65.31,0.51
8854,168,15092.886,286.38,586634,3.612,29.6,6.933,4.229,13767.119,13.64957983,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
631166,12649,62496.2,1252.467,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,50.31536364,2.22,82.8,0.945
547775,9883,63292.799,1141.934,8654618,214.243,43.1,18.436,12.644,57410.166,13.64957983,99.739,5.59,22.6,28.9,50.31536364,4.53,83.78,0.955
15094,994,862.482,56.798,17500657,316.1946818,21.7,8.723994186,2.577,18901.21359,13.64957983,376.264,7.673863636,10.55620438,32.13925926,70.598,1.5,72.7,0.567
941,9,39.51,0.378,23816775,316.1946818,42.2,8.723994186,8.353,18901.21359,13.64957983,103.957,7.673863636,10.55620438,32.13925926,50.31536364,3.017471698,80.46,0.724965517
13308,90,1395.313,9.436,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,10.55620438,32.13925926,72.704,4.8,71.1,0.668
509,21,8.521,0.352,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
25241,83,361.619,1.189,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
6182,81,746.732,9.784,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
7666,138,5477.706,98.607,1399491,266.886,36.2,10.014,5.819,28763.071,13.64957983,228.467,10.97,10.55620438,32.13925926,89.443,3,73.51,0.796
226740,7719,19184.984,653.122,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
2624019,27903,31112.735,330.843,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,50.31536364,2.81,77.69,0.82
40168,331,878.162,7.236,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
1340054,26320,30641.18,601.823,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,50.31536364,8.8,72.06,0.779
365017,1093,36906.192,110.511,9890400,112.442,34,1.144,0.526,67293.483,13.64957983,317.84,17.26,1.2,37.4,50.31536364,1.2,77.97,0.89
4107286,120147,60502.692,1769.835,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,50.31536364,2.54,81.32,0.932
28006110,495804,84609.928,1497.885,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,50.31536364,2.77,78.86,0.926
51377,563,14790.166,162.074,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,50.31536364,2.8,77.91,0.817
79598,622,2378.246,18.584,33469199,76.134,28.2,4.469,2.873,6253.104,13.64957983,724.417,7.57,1.3,24.7,50.31536364,4,71.72,0.72
135114,1308,4751.522,45.998,28435943,36.253,29,6.614,3.915,16745.022,13.64957983,204.85,6.47,10.55620438,32.13925926,50.31536364,0.8,72.06,0.711
2362,35,24.266,0.36,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704
